country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",06-11-2025 21:00:00,25.42742023,86.13886079,SO2,36,47,41
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",06-11-2025 21:00:00,25.42742023,86.13886079,OZONE,8,57,25
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",06-11-2025 21:00:00,26.80365,84.51954,CO,47,104,71
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",06-11-2025 21:00:00,25.251013,86.989001,PM2.5,NA,NA,NA
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",06-11-2025 21:00:00,25.251013,86.989001,PM10,NA,NA,NA
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",06-11-2025 21:00:00,25.265194,87.012947,PM2.5,57,100,78
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",06-11-2025 21:00:00,25.265194,87.012947,CO,16,72,39
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",06-11-2025 21:00:00,25.204762,85.51496,PM2.5,75,220,119
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",06-11-2025 21:00:00,25.204762,85.51496,NO2,9,10,10
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",06-11-2025 21:00:00,13.67,79.35,CO,24,45,34
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",06-11-2025 21:00:00,16.536107,80.594233,OZONE,6,34,25
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",06-11-2025 21:00:00,16.509717,80.612222,NO2,12,63,45
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",06-11-2025 21:00:00,16.509717,80.612222,SO2,10,19,14
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",06-11-2025 21:00:00,16.509717,80.612222,CO,27,38,30
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",06-11-2025 21:00:00,17.72,83.3,PM10,84,181,126
